"scenario","replicate","time_point","method","estimate","se","ci_lower","ci_upper","truth","bias","covers","runtime"
"switching",2,180,"IPTW",-0.0782157732264843,0.0121467873782805,-0.102023476487914,-0.0544080699650546,0.0049790785198345,-0.0831948517463188,0,0.0200000000004366
"switching",2,180,"G-computation",-8.70124373802961e-08,1.0195854115411e-26,-8.70124373802961e-08,-8.70124373802961e-08,0.0049790785198345,-0.00497916553227188,0,5.27000000000044
"switching",2,180,"Cox PH",0,NA,NA,NA,0.0049790785198345,-0.0049790785198345,NA,0.569999999999709
"switching",3,90,"TMLE",-0.0261270182947772,0.00759877241888351,-0.0410206122357889,-0.0112334243537656,0.00359989714579583,-0.0297269154405731,0,0.0600000000013097
"switching",3,90,"TMLE-CF",-0.0304778673082163,0.249651196813806,-0.519794213063276,0.458838478446843,0.00359989714579583,-0.0340777644540122,1,0.25
"switching",3,90,"AIPW",-0.0273371430924327,0.00776182706803359,-0.0425503241457786,-0.0121239620390869,0.00359989714579583,-0.0309370402382286,0,0.0299999999988358
"switching",3,90,"IPTW",0.00430474542396153,0.00390954903311968,-0.00335797068095303,0.0119674615288761,0.00359989714579583,0.000704848278165696,1,0
"switching",3,90,"G-computation",-0.0272727645278211,1.01992434798983e-26,-0.0272727645278211,-0.0272727645278211,0.00359989714579583,-0.0308726616736169,0,5.45000000000073
"switching",3,90,"Cox PH",0.018161489188402,NA,NA,NA,0.00359989714579583,0.0145615920426061,NA,0.809999999997672
"switching",3,180,"TMLE",0.0223499360847521,0.0817788602159724,-0.137936629938554,0.182636502108058,0.0049790785198345,0.0173708575649176,1,0.069999999999709
"switching",3,180,"TMLE-CF",0,2.79799947109571,-5.48407896334759,5.48407896334759,0.0049790785198345,-0.0049790785198345,1,0.210000000002765
"switching",3,180,"AIPW",0.122136434680399,0.0813879792194993,-0.0373840045898197,0.281656873950618,0.0049790785198345,0.117157356160564,1,0.0499999999992724
"switching",3,180,"IPTW",0.0468786044750594,0.00555452782867477,0.0359917299308569,0.057765479019262,0.0049790785198345,0.0418995259552249,0,0
"switching",3,180,"G-computation",0.0174579971176862,0,0.0174579971176862,0.0174579971176862,0.0049790785198345,0.0124789185978517,0,6.13999999999942
"switching",3,180,"Cox PH",0.0384230514864665,NA,NA,NA,0.0049790785198345,0.033443972966632,NA,0.829999999998108
